شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
010910	01	اضافه‌بها به ردیف ٠١٠٩٠٩ ، به ازای هر سانتی‌متر اضافه ضخامت مازاد بر ۵ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود).	مترمربع	42,400
010911	01	تراشیدن آسفالت به صورت پیوسته با ماشین مخصوص آسفالت تراش، به ضخامت تا ۵ سانتی‌متر	مترمربع	420,000
010912	01	اضافه‌بها به ردیف ٠١٠٩١١ به ازای هر سانتی‌متر اضافه ضخامت مازاد بر ۵ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود).	مترمربع	69,000
010913	01	تخریب آسفالت بین دو خط برش (با فاصله حداکثر 1/5 متر) با وسایل مکانیکی مانند کمپرسور یا بیل هیدرولیکی، به ضخامت تا ٧ سانتی‌متر و برداشتن آن	مترمربع	60,500
010914	01	اضافه‌بها به ردیف ٠١٠٩١٣ به ازای هر سانتی‌متر اضافه ضخامت مازاد بر ٧ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود)	مترمربع	22,000
010915	01	تراشیدن آسفالت برای لکه‌گیری به صورت غیرپیوسته و پراکنده با ماشین مخصوص آسفالت تراش، به ضخامت تا ۵ سانتی‌متر	مترمربع	537,000
010916	01	اضافه‌بها به ردیف ٠١٠٩١5 به ازای هر سانتی‌متر اضافه ضخامت مازاد بر ۵ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود)	مترمربع	71,600
010920	01	برش بتن به انضمام بریدن میلگردها، با کاتر به ضخامت تا 15 سانتی‌متر (اندازه گیری برحسب هر خط برش)	مترطول	1,647,000
010921	01	اضافه‌بها نسبت به ردیف 010920، به ازای هر سانتی‌متر اضافه ضخامت مازاد بر 15 سانتی‌متر تا 25 سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود.	مترطول	131,500
020101	02	لجن‌برداری، حمل با هر نوع وسیله دستی، تا فاصله ۵۰ متری و تخلیه آن‌ها	مترمکعب	1,774,000
020102	02	کندن زمین در زمین‌های خاکی و ریختن خاکهای کنده شده به کنار محل‌های مربوط	مترمکعب	1,401,000
